State,Name,B01002_001E,B01002_002E,B01002_003E,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_008E,B03001_003E,B08101_041E,B08136_003E,B08136_004E,B08136_007E,B08136_011E,B08136_012E,B08301_001E,B08301_003E,B08301_004E,B08301_010E,B08301_019E,B15003_002E,B15003_017E,B15003_018E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B16001_002E,B16001_003E,B16001_006E,B16001_009E,B16001_012E,B16001_015E,B16001_018E,B16001_021E,B16001_030E,B16001_033E,B16001_036E,B16001_039E,B16001_045E,B16001_048E,B16001_051E,B16001_054E,B16001_057E,B16001_066E,B16001_069E,B16001_072E,B16001_075E,B16001_078E,B16001_081E,B16001_084E,B16001_087E,B16001_093E,B16001_099E,B16001_105E,B16001_108E,B16001_111E,B17001A_002E,B17001B_002E,B17001C_002E,B17001D_002E,B17001E_002E,B17001G_002E,B17001I_002E,B17001_002E,B17001_003E,B17001_017E,B17012_002E,B17012_003E,B17012_009E,B17012_014E,B19013_001E,B19301_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,B25035_001E,B25058_001E,B25064_001E,B25077_001E,B25088_002E,C24010_003E,C24010_004E,C24010_005E,C24010_006E,C24010_007E,C24010_008E,C24010_009E,C24010_010E,C24010_011E,C24010_012E,C24010_013E,C24010_014E,C24010_015E,C24010_016E,C24010_017E,C24010_018E,C24010_019E,C24010_020E,C24010_021E,C24010_022E,C24010_023E,C24010_024E,C24010_025E,C24010_026E,C24010_027E,C24010_028E,C24010_029E,C24010_030E,C24010_031E,C24010_032E,C24010_033E,C24010_034E,C24010_035E,C24010_036E,C24010_037E,C24010_039E,C24010_040E,C24010_041E,C24010_042E,C24010_043E,C24010_044E,C24010_045E,C24010_046E,C24010_047E,C24010_048E,C24010_049E,C24010_050E,C24010_051E,C24010_052E,C24010_053E,C24010_054E,C24010_055E,C24010_056E,C24010_057E,C24010_058E,C24010_059E,C24010_060E,C24010_061E,C24010_062E,C24010_063E,C24010_064E,C24010_065E,C24010_066E,C24010_067E,C24010_068E,C24010_069E,C24010_070E,C24010_071E,C24010_072E,C24010_073E
01,Alabama,38.1,36.6,39.4,4799277,3326188,1262152,25278,56831,1387,72145,188294,19939,39678890,5566070,351800,212480,619260,1973623,1676660,193071,8935,23233,40711,818315,173415,236473,458393,187852,45646,30801,4261611,151384,7379,333,1672,1374,10038,18,918,1325,384,465,50,1010,2630,3236,1306,9461,1814,7475,887,208,828,935,6839,3115,96,145,4560,410,437454,382335,5907,7658,289,19394,60014,870631,377844,492787,178138,55810,15539,106789,43253,23680,2259344,2244093,2002163,241930,15251,1547090,1981,501,705,122500,1160,297672,135726,104780,30946,68603,27681,34521,6401,65373,14326,8554,30429,12064,27970,20946,7024,145312,5007,35005,17672,17333,43342,50566,11392,166615,102705,63910,200482,11495,110198,78789,239357,121176,68236,49945,354529,107197,63810,43387,21423,11400,5745,4278,131809,18021,9649,91926,12213,94100,58766,35334,190553,40748,8485,5119,3366,64606,31129,45585,327756,118617,209139,9012,1796,3796,3420,70875,49346,10960,10569
02,Alaska,33.6,33.3,33.9,720316,481638,25033,101273,39200,8013,56757,42832,18218,4169665,903450,220160,231045,699205,348457,234714,45046,5634,27584,2796,101267,22792,36351,80447,31988,7431,5068,557877,22425,2195,120,444,279,3662,0,140,4426,426,32,3,100,123,290,272,1634,1752,3937,205,3107,1105,1469,1286,14177,133,90,388,241,32121,2707,21375,4242,1276,6975,4321,69514,33395,36119,11599,3555,1776,6268,70760,32651,393037,376305,343366,32939,16732,160177,1983,978,1098,241800,1850,56933,25455,19457,5998,14492,3879,6774,3839,12447,3007,1305,5931,2204,4539,3164,1375,27574,1058,6405,3636,2769,9344,7472,3295,27001,13907,13094,40479,2916,23953,13610,31083,11383,12292,7408,65984,23690,14798,8892,4603,1165,1434,2004,24893,4268,1879,16385,2361,12798,8707,4091,32466,6857,1791,1146,645,9292,4639,9887,53083,15914,37169,1859,303,1034,522,6904,3084,2497,1323
04,Arizona,36.3,35.1,37.5,6479703,5131739,270027,286953,182953,12607,191265,1935948,71123,48854685,8455395,2475760,661540,1909110,2684408,2045890,307672,53840,57430,52419,863210,168804,350503,716734,296979,69819,48203,4416957,1230732,16511,756,7901,4401,23063,445,3043,6602,5844,8370,1385,6111,3824,8474,2380,28552,6237,10733,2055,234,2492,1397,20608,20664,83792,1499,16865,2705,788026,62580,107623,24071,2464,36796,526454,1131901,527201,604700,202622,84827,25239,92556,49774,25358,3056508,3038226,2721866,316360,18282,1983203,1988,747,896,165100,1439,472068,214868,155636,59232,115233,55128,50109,9996,100651,18424,12423,44319,25485,41316,29101,12215,254049,10038,61515,31696,29819,79195,77282,26019,281847,165959,115888,240064,12167,134076,93821,198039,80560,74584,42895,482703,171473,100934,70539,35290,19227,7873,8190,174476,28946,14804,110624,20102,101464,69266,32198,283609,50518,17841,9974,7867,89288,44973,80989,440873,155650,285223,10441,2972,3445,4024,58173,31565,15453,11155
05,Arkansas,37.5,36.2,38.8,2933369,2295446,454903,17945,37776,5697,58307,192264,16614,21186160,3352555,163960,195565,396690,1225869,1007658,135541,5460,21537,22954,561542,117797,119038,257157,93456,23201,15503,2540974,143540,4326,93,963,1050,5488,0,144,515,315,211,100,519,917,1413,628,4125,942,1591,273,1584,438,3429,4589,2901,20,94,2704,25,351946,148106,4317,4510,1829,16140,61808,547328,243806,303522,110209,40659,11416,58134,40768,22170,1372975,1366667,1245432,121235,6308,928468,1981,480,661,107300,1021,172975,86124,66720,19404,29043,13753,10957,4333,39742,9699,4033,19040,6970,18066,12839,5227,87438,3464,18935,9292,9643,28169,29667,7203,105367,65504,39863,130070,13739,68545,47786,158060,79555,46365,32140,215295,63795,39877,23918,10423,5709,1892,2822,82660,11377,4465,60052,6766,58417,37049,21368,126848,28261,4622,2235,2387,42200,20401,31364,194801,68938,125863,5426,1753,1778,1895,49152,36029,5243,7880
06,California,35.4,34.2,36.6,37659181,23467167,2255372,286397,5005635,146290,1627359,14270345,388060,308333440,55809790,40302525,5587060,10521525,16290887,11918232,1843160,841628,446899,598141,4525094,540940,1895918,4753446,1821325,565907,360357,19782598,10105424,126083,6718,62621,79572,110575,3272,22932,151685,19699,22753,191928,191138,44917,149301,45609,1058231,140575,372742,79882,76789,46434,36849,521534,764743,1401,13236,153635,41311,3274894,512495,66432,581211,22691,244100,3180437,5885417,2718365,3167052,1030055,442375,124654,463026,61094,29527,18946244,18804519,16635854,2168665,141725,10570351,1974,1119,1224,366400,2270,3092846,1365832,1001083,364749,755218,363692,301678,89848,728675,91576,105700,272439,258960,243121,173630,69491,1434173,59666,295647,175837,119810,460171,449378,169311,1621403,957399,664004,1432011,198091,767345,466575,1393980,602900,462523,328557,3039347,1127003,667265,459738,266310,121445,59945,84920,1098558,157146,106118,649792,185502,547476,390173,157303,1662675,279279,71769,42909,28860,444260,288793,578574,2435151,902994,1532157,104437,68640,17029,18768,419831,263392,60687,95752
08,Colorado,36.1,35.2,37.2,5119329,4301096,203755,49177,141719,6549,175035,1064009,61332,43931350,6899050,3568660,838200,1764675,2494794,1864959,247307,80504,76958,29018,621098,129139,276955,799431,330767,72800,51826,3976875,565058,16213,382,5767,3370,25675,135,1910,15124,5365,2531,583,4090,762,4171,1613,19020,6071,15629,2210,3008,1950,2175,20099,7293,2937,1322,9692,1650,487361,51067,11254,15096,975,28137,251799,660874,308656,352218,114936,46771,12476,55689,58433,31109,2774490,2741518,2509777,231741,32972,1249232,1981,825,939,236200,1629,505568,240389,179124,61265,137183,70329,51327,15527,95497,14274,13606,39646,27971,32499,24691,7808,190826,6983,41575,22404,19171,70059,51714,20495,240413,149122,91291,226108,10950,140898,74260,176040,68863,69324,37853,495795,186038,109376,76662,46524,23738,10769,12017,172150,25100,15916,103304,27830,91083,66234,24849,242518,44893,11073,6566,4507,79346,39567,67639,372509,133759,238750,10760,2819,4380,3561,49240,27135,13200,8905
09,Connecticut,40.2,38.7,41.5,3583561,2792554,361668,8770,141709,1304,94111,496939,19955,32069295,3564070,4430400,551605,526495,1727286,1359050,144497,80574,52155,23600,600317,78053,178597,498124,283662,70744,38390,2658925,371024,34519,14081,36571,37016,11533,353,8670,10684,37704,4160,731,1488,5647,11430,6282,27002,3391,6456,2456,9,1401,2981,7735,8539,0,2764,9271,2762,200353,74615,1609,10653,71,15185,123351,354348,156036,198312,66254,18365,6030,41859,69461,37892,1958723,1950121,1759412,190709,8602,920427,1963,880,1056,278900,2135,346113,164728,114746,49982,76467,35993,30993,9481,77744,11042,13407,34294,19001,27174,20412,6762,138743,5516,28167,16051,12116,40858,47107,17095,161983,100795,61188,126234,2611,75955,47668,129074,66520,40351,22203,372515,120026,69737,50289,27494,13163,5445,8886,147589,22976,12355,95148,17110,77406,54319,23087,175520,47776,7179,4673,2506,45822,23801,50942,262283,92206,170077,4376,1071,1539,1766,42571,28455,7744,6372
10,Delaware,38.9,37.5,40.2,908446,635474,194964,3010,30422,567,23066,76107,4846,8142700,960140,623920,102450,113845,416163,335435,37396,13288,9449,6361,172876,21001,44444,105108,50483,11201,9745,745175,57255,3520,2562,2282,696,3191,75,1288,999,1014,216,62,262,2091,1895,1746,6110,562,1598,49,0,183,42,1095,2293,0,141,1628,122,56326,35296,350,2068,12,4194,17635,103633,43839,59794,17720,5121,1925,10674,59878,29819,466696,463216,422009,41207,3480,259668,1981,828,999,235800,1605,72080,33871,24651,9220,17459,8145,5860,3454,15344,2940,2200,7138,3066,5406,3848,1558,35070,1455,7869,3951,3918,11025,11280,3441,35935,20445,15490,34765,1468,18992,14305,34735,13601,13646,7488,87538,30138,17685,12453,6537,3049,967,2521,31785,5817,3489,19896,2583,19078,12730,6348,42451,9165,2683,1889,794,14308,5401,10894,67534,22719,44815,1386,464,278,644,10515,5915,2495,2105
11,District of Columbia,33.8,33.7,34,619371,248141,310530,1990,21845,233,14467,59479,14728,2806150,518165,4509500,664775,363955,312875,106343,18603,120076,38164,4818,69105,11858,12958,97641,74657,36137,16848,490944,44457,8489,440,1759,1449,2623,7,662,1895,483,486,93,663,311,1245,261,4306,820,1290,53,54,386,53,1166,1436,0,275,1599,597,19469,80548,293,2921,0,1670,9390,109200,46804,62396,16579,2273,1723,12583,65830,45290,357458,354171,315177,38994,3287,167612,1950,1154,1242,445200,2344,91689,38298,24041,14257,18243,9398,3143,5702,32330,2466,13026,8154,8684,2818,2313,505,22311,982,4735,3495,1240,8612,5246,2736,19608,8421,11187,8820,147,6420,2253,9601,1781,5323,2497,97892,39140,21874,17266,12466,6258,849,5359,39659,5011,11092,13236,10320,6627,4827,1800,27049,4772,3562,2623,939,6481,6443,5791,34916,10503,24413,540,29,248,263,2751,1017,1453,281
12,Florida,41,39.6,42.4,19091156,14568521,3056152,58390,475905,11258,430455,4369920,178598,162457900,22076560,7719705,1512090,5628050,8094220,6436311,799439,166027,126018,183723,3400290,563937,1188081,2253937,854996,265198,141781,13070061,3640750,114756,361103,49161,87311,69475,5785,20862,35974,23937,17890,2268,9435,19530,19848,17383,59400,12041,18720,4679,1643,9870,4224,56119,60165,79,10658,42761,20002,1944996,826598,13623,59207,1490,81613,918939,3052807,1389638,1663169,550884,219116,61111,270657,46956,26236,9355809,9298664,8202636,1096028,57145,6207725,1985,838,990,160200,1530,1299850,638699,473678,165021,242410,123678,95006,23726,284756,42245,47967,111535,83009,133985,94150,39835,783303,27020,170818,101304,69514,258713,248016,78736,866041,537417,328624,713626,46651,392902,274073,573054,198379,243429,131246,1460806,509345,308650,200695,79341,42359,15785,21197,526568,68769,58714,332699,66386,345552,224215,121337,894639,190861,51193,27870,23323,281968,173918,196699,1412805,542691,870114,35961,13295,11356,11310,162551,90487,42841,29223
