Reg,St,Site Name                                                                ,,Site ID,EPA ID,Address,City,Zip,County,,,FF?,Latitude,Longitude,Deleted Date,,
‭01‬,CT,CHESHIRE GROUND WATER CONTAMINATION,,‭0100265‬,CTD981067317,604 WEST JOHNSON AVENUE ,CHESHIRE,06410,NEW HAVEN,,,N,‭+41.557500‬,‭-072.910830‬ ,07/02/97,,
‭01‬,CT,NUTMEG VALLEY ROAD,,‭0100250‬,CTD980669261,NUTMEG VALLEY ROAD ,WOLCOTT,06716,NEW HAVEN,,,N,‭+41.574800‬,‭-072.998600‬ ,09/23/05,,
‭01‬,CT,REVERE TEXTILE PRINTS CORP.,,‭0100121‬,CTD004532610,RAILROAD AVENUE ,STERLING,06377,WINDHAM,,,N,‭+41.708330‬,‭-071.829160‬ ,09/02/94,,
‭01‬,MA,CANNON ENGINEERING CORP. (CEC),,‭0100585‬,MAD079510780,FIRST ST ,BRIDGEWATER,02324,PLYMOUTH,,,N,‭+41.972700‬,‭-071.025600‬ ,09/24/13,,
‭01‬,MA,FORT DEVENS-SUDBURY TRAINING ANNEX,,‭0100685‬,MAD980520670,HUDSON RD ,SUDBURY,01775,MIDDLESEX,,,Y,‭+42.406940‬,‭-071.475270‬ ,01/29/02,,
‭01‬,MA,MATERIALS TECHNOLOGY LABORATORY (USARMY),,‭0100953‬,MA0213820939,OFF OF US HWY 20/N BEACON ST ,WATERTOWN,02172,MIDDLESEX,,,Y,‭+42.360410‬,‭-071.166110‬ ,11/21/06,,
‭01‬,MA,NORWOOD PCBS,,‭0100732‬,MAD980670566,NEAR RTE 1 & DEAN STREET ,NORWOOD,02062,NORFOLK,,,N,‭+42.180830‬,‭-071.192500‬ ,05/31/11,,
‭01‬,MA,PLYMOUTH HARBOR/CANNON ENGINEERING CORP.,,‭0100726‬,MAD980525232,CORDAGE PARK ,PLYMOUTH,02360,PLYMOUTH,,,N,‭+41.979600‬,‭-070.685400‬ ,11/19/93,,
‭01‬,MA,SALEM ACRES,,‭0100727‬,MAD980525240,57 MARLBORO RD ,SALEM,01970,ESSEX,,,N,‭+42.503000‬,‭-070.931300‬ ,07/23/01,,
‭01‬,ME,O'CONNOR CO.,,‭0101031‬,MED980731475,"EASTERN AVE, RT 17 ",AUGUSTA,04330,KENNEBEC,,,N,‭+44.301910‬,‭-69.736940‬ ,07/22/14,,
‭01‬,ME,PINETTE'S SALVAGE YARD,,‭0101036‬,MED980732291,GARDNER CREEK RD ,WASHBURN,04786,AROOSTOOK,,,N,‭+46.778200‬,‭-068.170100‬ ,09/30/02,,
‭01‬,ME,SACO TANNERY WASTE PITS,,‭0101014‬,MED980520241,FLAG POND RD ,SACO,04072,YORK,,,N,‭+43.560550‬,‭-070.426380‬ ,09/29/99,,
‭01‬,NH,TOWN GARAGE/RADIO BEACON,,‭0101162‬,NHD981063860,HOLTON CIRCLE ,LONDONDERRY,03053,ROCKINGHAM,,,N,‭+42.861660‬,‭-71.393610‬ ,07/21/14,,
‭01‬,RI,DAVIS (GSR) LANDFILL,,‭0101292‬,RID980731459,TARKILN RD. ,GLOCESTER,02828,PROVIDENCE,,,N,‭+41.917460‬,‭-071.588110‬ ,08/13/99,,
‭01‬,VT,DARLING HILL DUMP,,‭0101477‬,VTD980520118,OFF RTE 114 ,LYNDON,05851,CALEDONIA,,,N,‭+44.554500‬,‭-071.984400‬ ,09/29/99,,
‭01‬,VT,"TANSITOR ELECTRONICS, INC.",,‭0101435‬,VTD000509174,WEST RD ,BENNINGTON,05404,BENNINGTON,,,N,‭+42.877780‬,‭-073.266660‬ ,09/29/99,,
‭02‬,NJ,ASBESTOS DUMP,,‭0200769‬,NJD980654149,TIFA SQUARE ,MILLINGTON,07946,MORRIS,,,N,‭+40.672500‬,‭-074.525560‬ ,07/12/10,,
‭02‬,NJ,BEACHWOOD/BERKELEY WELLS,,‭0200767‬,NJD980654123,ATLANTIC CITY BLVD ,BERKELEY TOWNSHIP,08722,OCEAN,,,N,‭+39.924710‬,‭-074.196660‬ ,01/06/92,,
‭02‬,NJ,COMBE FILL NORTH LANDFILL,,‭0200719‬,NJD980530596,GOLDMINE ROAD ,MOUNT OLIVE TOWNSHIP,07828,MORRIS,,,N,‭+40.881930‬,‭-074.713330‬ ,06/02/04,,
‭02‬,NJ,COOPER ROAD,,‭0200793‬,NJD980761381,COOPER ROAD ,VOORHEES TOWNSHIP,08043,CAMDEN,,,N,‭+39.847800‬,‭-074.945500‬ ,02/22/89,,
‭02‬,NJ,CROWN VANTAGE LANDFILL,,‭0204492‬,NJN000204492,ADJ. TO DELAWARE RIVER 1/2 MI. SOUTH OF  BOUNDARY LINE W/MILFORD BOROUGH,ALEXANDRIA TOWNSHIP,08848,HUNTERDON,,,N,‭+40.552020‬,‭-75.078910‬ ,08/28/15,,
‭02‬,NJ,DELILAH ROAD,,‭0200614‬,NJD980529002,DELILAH & MILL ROADS ,EGG HARBOR TOWNSHIP,08221,ATLANTIC,,,N,‭+39.416660‬,‭-074.545830‬ ,10/13/09,,
