Reg	St	Site Name                                                                		Site ID	EPA ID	Address	City	Zip	County			FF?	Latitude	Longitude	Final Date
?01?	CT	BARKHAMSTED-NEW HARTFORD LANDFILL		?0100255?	CTD980732333	ROUTE 44 	BARKHAMSTED	06063	LITCHFIELD			N	?+41.980550?	?-073.047220? 	10/4/1989
?01?	CT	BEACON HEIGHTS LANDFILL		?0100180?	CTD072122062	BLACKBERRY HILL ROAD 	BEACON FALLS	06403	NEW HAVEN			N	?+41.431950?	?-073.035280? 	9/8/1983
?01?	CT	DURHAM MEADOWS		?0100108?	CTD001452093	124 MAIN ST 	DURHAM	06422	MIDDLESEX			N	?+41.481110?	?-072.681380? 	10/4/1989
?01?	CT	GALLUP'S QUARRY		?0100201?	CTD108960972	ROUTE 12 	PLAINFIELD	06374	WINDHAM			N	?+41.665280?	?-071.924160? 	10/4/1989
?01?	CT	KELLOGG-DEERING WELL FIELD		?0100252?	CTD980670814	NORWALK WATER DEPARTMENT 	NORWALK	06856	FAIRFIELD			N	?+41.130550?	?-073.431950? 	9/21/1984
?01?	CT	"LAUREL PARK, INC."		?0100232?	CTD980521165	HUNTERS MTN RD 	NAUGATUCK BOROUGH	06770	NEW HAVEN			N	?+41.476930?	?-073.071660? 	9/8/1983
?01?	CT	LINEMASTER SWITCH CORP.		?0100041?	CTD001153923	29 PLAINE HILL ROAD 	WOODSTOCK	06281	WINDHAM			N	?+41.940560?	?-071.966930? 	2/21/1990
?01?	CT	NEW LONDON SUBMARINE BASE		?0100261?	CTD980906515	ROUTE 12 CRYSTAL LAKE RD 	NEW LONDON	06349	NEW LONDON			Y	?+41.400130?	?-072.087080? 	8/30/1990
?01?	CT	OLD SOUTHINGTON LANDFILL		?0100251?	CTD980670806	OLD TURNPIKE RD 	SOUTHINGTON	06487	HARTFORD			N	?+41.579160?	?-072.881930? 	9/21/1984
?01?	CT	PRECISION PLATING CORP.		?0100156?	CTD051316313	1050 HARTFORD TURNPIKE ROAD 	VERNON	06066	TOLLAND			N	?+41.849750?	?-072.447910? 	10/4/1989
?01?	CT	"RAYMARK INDUSTRIES, INC."		?0100094?	CTD001186618	75 EAST MAIN STREET 	STRATFORD	06497	FAIRFIELD			N	?+41.201270?	?-073.117220? 	4/25/1995
?01?	CT	SCOVILL INDUSTRIAL LANDFILL		?0102953?	CT0002265551	STORE AVENUE 	WATERBURY	06705	NEW HAVEN			N	?+41.550380?	?-073.010630? 	7/27/2000
?01?	CT	SOLVENTS RECOVERY SERVICE OF NEW ENGLAND		?0100124?	CTD009717604	LAZY LANE 	SOUTHINGTON	06489	HARTFORD			N	?+41.619600?	?-072.878000? 	9/8/1983
?01?	CT	YAWORSKI WASTE LAGOON		?0100125?	CTD009774969	PACKER ROAD 	CANTERBURY	06331	WINDHAM			N	?+41.669450?	?-071.964160? 	9/8/1983
?01?	MA	ATLAS TACK CORP.		?0100376?	MAD001026319	PLEASANT ST 	FAIRHAVEN	02719	BRISTOL			N	?+41.635560?	?-070.894450? 	2/21/1990
?01?	MA	BAIRD & MCGUIRE		?0100392?	MAD001041987	775 SOUTH ST 	HOLBROOK	02343	NORFOLK			N	?+42.149710?	?-071.028610? 	9/8/1983
?01?	MA	BJAT LLC		?0106144?	MAN000106144	300 FISHER STREET 	FRANKLIN	02038	NORFOLK			N	?+42.074417?	?-71.410806? 	9/30/2015
?01?	MA	BLACKBURN & UNION PRIVILEGES		?0101713?	MAD982191363	SOUTH ST. 	WALPOLE	02081	NORFOLK			N	?+42.138740?	?-071.251660? 	5/31/1994
?01?	MA	CHARLES GEORGE RECLAMATION TRUST LANDFILL		?0100464?	MAD003809266	CORNER DUNSTABLE & CUMMINGS RD 	TYNGSBOROUGH	01879	MIDDLESEX			N	?+42.669450?	?-071.443330? 	9/8/1983
?01?	MA	CREESE & COOK TANNERY (FORMER)		?0100380?	MAD001031574	55 CLINTON AVENUE 	DANVERS	01923	ESSEX			N	?+42.553056?	?-070.926667? 	5/24/2013
?01?	MA	FORT DEVENS		?0100966?	MA7210025154	BUENA VISTA ST 	FORT DEVENS	01433	MIDDLESEX			Y	?+42.536110?	?-071.596110? 	11/21/1989
?01?	MA	GROVELAND WELLS		?0100750?	MAD980732317	JOHNSON CREEK WATERSHED 	GROVELAND	01834	ESSEX			N	?+42.753330?	?-071.038880? 	9/8/1983
?01?	MA	HANSCOM FIELD/HANSCOM AIR FORCE BASE		?0100967?	MA8570024424	HARTWELL AVENUE 	BEDFORD	01730	MIDDLESEX			Y	?+42.470660?	?-071.289440? 	5/31/1994
?01?	MA	HATHEWAY & PATTERSON		?0102724?	MAD001060805	15 COUNTY ROAD 	MANSFIELD	02048	BRISTOL			N	?+42.038190?	?-071.222500? 	9/5/2002
?01?	MA	HAVERHILL MUNICIPAL LANDFILL		?0100717?	MAD980523336	OLD GROVELAND RD 	HAVERHILL	01830	ESSEX			N	?+42.753880?	?-071.046660? 	6/10/1986
?01?	MA	HOCOMONCO POND		?0100751?	MAD980732341	FISHER ST 	WESTBOROUGH	01581	WORCESTER			N	?+42.272780?	?-071.650830? 	9/8/1983
?01?	MA	INDUSTRI-PLEX		?0100580?	MAD076580950	COMMERCE & ATLANTIC 	WOBURN	01801	MIDDLESEX			N	?+42.516660?	?-071.141660? 	9/8/1983
?01?	MA	IRON HORSE PARK		?0100524?	MAD051787323	HIGH ST 	BILLERICA	01862	MIDDLESEX			N	?+42.583330?	?-071.265260? 	9/21/1984
?01?	MA	"NATICK LABORATORY ARMY RESEARCH, DEVELOPMENT, AND ENGINEERING CENTER"		?0101831?	MA1210020631	100 KANSAS STREET 	NATICK	01760	MIDDLESEX			Y	?+42.288880?	?-071.363610? 	5/31/1994
?01?	MA	NAVAL WEAPONS INDUSTRIAL RESERVE PLANT		?0102032?	MA6170023570	165 HARTWELL ROAD 	BEDFORD	01730	MIDDLESEX			Y	?+42.478880?	?-071.290270? 	5/31/1994
?01?	MA	NEW BEDFORD		?0100743?	MAD980731335	ACUSHNET ESTUARY 	NEW BEDFORD	02740	BRISTOL			N	?+41.643170?	?-070.919880? 	9/8/1983
?01?	MA	"NUCLEAR METALS, INC."		?0100550?	MAD062166335	2229 MAIN STREET 	CONCORD	01742	MIDDLESEX			N	?+42.441660?	?-071.421940? 	6/14/2001
?01?	MA	NYANZA CHEMICAL WASTE DUMP		?0100948?	MAD990685422	MEGUNKO RD 	ASHLAND	01721	MIDDLESEX			N	?+42.258610?	?-071.473610? 	9/8/1983
?01?	MA	OLIN CHEMICAL		?0100438?	MAD001403104	51 EAMES ST 	WILMINGTON	01887	MIDDLESEX			N	?+42.528056?	?-071.153889? 	4/19/2006
?01?	MA	OTIS AIR NATIONAL GUARD BASE/CAMP EDWARDS		?0100960?	MA2570024487	OTIS AFB HERBERT RD 	FALMOUTH	02542	BARNSTABLE			Y	?+41.651660?	?-070.521380? 	11/21/1989
?01?	MA	PSC RESOURCES		?0100747?	MAD980731483	10 WATER ST 	PALMER	01069	HAMPDEN			N	?+42.153330?	?-072.330280? 	9/8/1983
