B01002_001E,B01003_001E,B17001_002E,B19013_001E,B19301_001E,NAME,zip code tabulation area
36.6,18450,10816,12041,7380,ZCTA5 00601,00601
38.6,41302,22409,15663,8463,ZCTA5 00602,00602
38.9,53683,26220,15485,9176,ZCTA5 00603,00603
37.3,6591,3721,15019,6383,ZCTA5 00606,00606
39.2,28963,14569,16707,7892,ZCTA5 00610,00610
38.5,68055,30695,17848,10188,ZCTA5 00612,00612
40.9,10183,4808,15342,8767,ZCTA5 00616,00616
36.2,24879,13362,14982,7939,ZCTA5 00617,00617
42,6165,3700,14281,8751,ZCTA5 00622,00622
39.7,44704,21322,17389,9326,ZCTA5 00623,00623
34.2,25340,15095,14768,6761,ZCTA5 00624,00624
37.9,34806,15541,19527,9112,ZCTA5 00627,00627
43.9,1747,906,11596,6561,ZCTA5 00631,00631
38.8,24996,12384,16430,8045,ZCTA5 00637,00637
37.2,18742,11271,13860,6526,ZCTA5 00638,00638
38.7,30401,16917,14924,7479,ZCTA5 00641,00641
37.5,38303,13665,28306,14374,ZCTA5 00646,00646
41.3,5640,3050,13925,7384,ZCTA5 00647,00647
36.2,14969,8176,16133,7038,ZCTA5 00650,00650
40.1,3461,1742,12809,9406,ZCTA5 00652,00652
36.6,13461,8990,12595,6465,ZCTA5 00653,00653
36.5,21172,11207,15054,7534,ZCTA5 00656,00656
37.9,41932,19332,19199,9428,ZCTA5 00659,00659
42.4,17151,5564,21107,10609,ZCTA5 00660,00660
38.4,43535,23794,15600,8124,ZCTA5 00662,00662
33.9,16508,8562,19342,7841,ZCTA5 00664,00664
39.6,25797,15533,14081,6763,ZCTA5 00667,00667
37.7,28984,18000,11790,6600,ZCTA5 00669,00669
37.7,9689,5527,15817,7016,ZCTA5 00670,00670
37.9,43848,20376,18048,9838,ZCTA5 00674,00674
35.8,39916,20916,14697,7700,ZCTA5 00676,00676
41.3,15108,8064,15875,8986,ZCTA5 00677,00677
37.5,27229,15659,14877,7274,ZCTA5 00678,00678
38.6,56003,27935,15115,8745,ZCTA5 00680,00680
35,32509,17053,15067,10869,ZCTA5 00682,00682
40.6,33442,15191,15587,9178,ZCTA5 00683,00683
39.7,41947,23075,14623,7192,ZCTA5 00685,00685
33.8,32609,18201,14797,7060,ZCTA5 00687,00687
40.1,13340,7206,14148,6757,ZCTA5 00688,00688
33.8,6299,2821,19474,9251,ZCTA5 00690,00690
35,37618,18509,18500,9273,ZCTA5 00692,00692
37.4,60211,30388,16406,9051,ZCTA5 00693,00693
70.5,157,132,10750,7616,ZCTA5 00694,00694
39.2,41179,22115,15099,7491,ZCTA5 00698,00698
35.5,29153,15885,14673,7734,ZCTA5 00703,00703
34.2,7867,4271,12612,7229,ZCTA5 00704,00704
37.5,25373,12258,15892,8868,ZCTA5 00705,00705
39.1,12070,6765,18446,8134,ZCTA5 00707,00707
35.6,19443,10037,16350,8208,ZCTA5 00714,00714
41.1,4315,2916,14114,10149,ZCTA5 00715,00715
37.6,32180,15438,18878,11773,ZCTA5 00716,00716
32.9,17972,10508,12407,9120,ZCTA5 00717,00717
34.5,26767,13837,17123,9038,ZCTA5 00718,00718
